|Run	|Epoch	$RunName	#CorSim	#UnitErr	#PctErr	#PctCor	#TstCorSim	#TstUnitErr	#TstPctCor	#TstPctErr	#PerTrlMSec	#Hidden1_ActMAvg	#Hidden1_ActMMax	#Hidden1_MaxGeM	#Hidden1_CorDiff	#Hidden1_GiMult	#Hidden2_ActMAvg	#Hidden2_ActMMax	#Hidden2_MaxGeM	#Hidden2_CorDiff	#Hidden2_GiMult	#Output_ActMAvg	#Output_ActMMax	#Output_MaxGeM	#Output_CorDiff	#Output_GiMult	#Input_ActAvg	#Hidden1_PCA_NStrong	#Hidden1_PCA_Top5	#Hidden1_PCA_Next5	#Hidden1_PCA_Rest	#Hidden2_PCA_NStrong	#Hidden2_PCA_Top5	#Hidden2_PCA_Next5	#Hidden2_PCA_Rest	#Output_PCA_NStrong	#Output_PCA_Top5	#Output_PCA_Next5	#Output_PCA_Rest
0	17	Base	0.8809	0.0425	0.5938	0.4062	0.8393	0.0725	0.375	0.625	11.12	0.07405	0.6622	1.233	0.008919	1	0.07259	0.5308	0.9988	0.04804	1	0.2633	0.9405	1.01	0.1191	1	0.2132	21	0.2286	0.1285	0.005968	21	0.1289	0.08213	0.003995	16	0.1836	0.06461	0.01035
0	18	Base	0.8872	0.03625	0.4375	0.5625	0.8393	0.0725	0.375	0.625	10.77	0.07405	0.6662	1.238	0.009321	1	0.07355	0.5362	1.001	0.0502	1	0.2612	0.9393	1.012	0.1128	1	0.214	21	0.2286	0.1285	0.005968	21	0.1289	0.08213	0.003995	16	0.1836	0.06461	0.01035
0	19	Base	0.8825	0.04	0.4375	0.5625	0.9115	0.0225	0.6562	0.3438	12.81	0.07401	0.6626	1.252	0.008725	1	0.07376	0.5265	1.007	0.04535	1	0.2641	0.9256	1.02	0.1175	1	0.2154	21	0.2286	0.1285	0.005968	21	0.1289	0.08213	0.003995	16	0.1836	0.06461	0.01035
0	20	Base	0.9157	0.02625	0.3125	0.6875	0.9115	0.0225	0.6562	0.3438	10.96	0.07414	0.6556	1.257	0.008213	1	0.07337	0.5475	1.011	0.0385	1	0.2643	0.9627	1.028	0.08429	1	0.216	21	0.2531	0.133	0.006013	21	0.1505	0.07946	0.003921	16	0.231	0.07662	0.0119
0	21	Base	0.9183	0.0175	0.2812	0.7188	0.9115	0.0225	0.6562	0.3438	10.89	0.07442	0.6688	1.263	0.00851	1	0.07321	0.5387	1.013	0.03879	1	0.2606	0.9467	1.031	0.08168	1	0.2166	21	0.2531	0.133	0.006013	21	0.1505	0.07946	0.003921	16	0.231	0.07662	0.0119
0	22	Base	0.928	0.01125	0.1875	0.8125	0.9115	0.0225	0.6562	0.3438	10.73	0.07388	0.6622	1.269	0.007702	1	0.07309	0.5295	1.015	0.03272	1	0.2651	0.9686	1.033	0.07197	1	0.2171	21	0.2531	0.133	0.006013	21	0.1505	0.07946	0.003921	16	0.231	0.07662	0.0119
0	23	Base	0.932	0.0125	0.1875	0.8125	0.9115	0.0225	0.6562	0.3438	10.71	0.07482	0.6648	1.276	0.007855	1	0.07331	0.5547	1.021	0.03814	1	0.2643	0.9709	1.04	0.06799	1	0.2176	21	0.2531	0.133	0.006013	21	0.1505	0.07946	0.003921	16	0.231	0.07662	0.0119
0	24	Base	0.909	0.0225	0.2188	0.7812	0.9203	0.01875	0.8125	0.1875	12.87	0.07458	0.6704	1.284	0.008471	1	0.0731	0.5418	1.027	0.03311	1	0.2679	0.9753	1.051	0.09104	1	0.2184	21	0.2531	0.133	0.006013	21	0.1505	0.07946	0.003921	16	0.231	0.07662	0.0119
0	25	Base	0.9181	0.02	0.2188	0.7812	0.9203	0.01875	0.8125	0.1875	10.73	0.075	0.6827	1.289	0.009043	1	0.07381	0.5343	1.029	0.04152	1	0.2652	0.9715	1.054	0.08188	1	0.2187	24	0.2576	0.1187	0.007354	23	0.1501	0.07645	0.004662	17	0.2128	0.09799	0.01463
0	26	Base	0.9325	0.01125	0.125	0.875	0.9203	0.01875	0.8125	0.1875	10.57	0.0744	0.6656	1.297	0.007468	1	0.07385	0.5538	1.031	0.02995	1	0.2587	0.9746	1.06	0.0675	1	0.219	24	0.2576	0.1187	0.007354	23	0.1501	0.07645	0.004662	17	0.2128	0.09799	0.01463
