|Run	|Epoch	|Trial	$TrialName	#Err	#SSE	#AvgSSE	#CosDiff
0	4	6	evt_11	1	5.656	0.2262	0.1955
0	4	7	evt_23	1	2.149	0.08596	0.7007
0	4	8	evt_14	1	0.9677	0.03871	0.8428
0	4	9	evt_6	1	4.457	0.1783	0.3672
0	4	10	evt_21	1	4.95	0.198	0.3177
0	4	11	evt_5	1	1.337	0.0535	0.7485
0	4	12	evt_19	1	6.188	0.2475	0.1532
0	4	13	evt_17	1	3.39	0.1356	0.5573
0	4	14	evt_3	1	3.881	0.1553	0.357
0	4	15	evt_9	1	3.644	0.1458	0.4914
0	4	16	evt_4	1	2.471	0.09885	0.6142
0	4	17	evt_18	1	4.006	0.1602	0.4238
0	4	18	evt_8	1	0.3511	0.01404	0.8489
0	4	19	evt_13	1	5.599	0.224	0.2402
0	4	20	evt_2	1	5.204	0.2082	0.2427
0	4	21	evt_20	1	3.412	0.1365	0.4941
0	4	22	evt_22	1	4.26	0.1704	0.4044
0	4	23	evt_7	1	3.392	0.1357	0.4619
0	5	0	evt_20	1	3.292	0.1317	0.515
0	5	1	evt_22	1	5.973	0.2389	0.2058
0	5	2	evt_19	1	5.825	0.233	0.23
0	5	3	evt_3	1	3.557	0.1423	0.4045
0	5	4	evt_21	1	3.907	0.1563	0.3907
0	5	5	evt_11	1	3.066	0.1226	0.5107
0	5	6	evt_7	1	2.531	0.1012	0.5871
0	5	7	evt_6	1	4.466	0.1786	0.3196
0	5	8	evt_5	1	1.626	0.06505	0.7379
0	5	9	evt_14	1	0.6104	0.02442	0.9113
0	5	10	evt_15	1	0.9404	0.03761	0.8697
0	5	11	evt_0	1	5.178	0.2071	0.266
0	5	12	evt_1	1	0.811	0.03244	0.8456
0	5	13	evt_18	1	2.711	0.1084	0.5587
0	5	14	evt_17	1	1.325	0.053	0.8125
0	5	15	evt_13	1	1.309	0.05236	0.7749
0	5	16	evt_16	1	2.597	0.1039	0.555
0	5	17	evt_23	1	1.821	0.07285	0.7483
0	5	18	evt_2	1	6.017	0.2407	0.1827
0	5	19	evt_10	1	4	0.16	0.442
0	5	20	evt_8	1	0.3694	0.01477	0.8734
0	5	21	evt_4	1	5.303	0.2121	0.244
0	5	22	evt_12	1	0.5682	0.02273	0.8524
0	5	23	evt_9	1	2.581	0.1032	0.6234
0	6	0	evt_7	1	2.418	0.0967	0.6271
0	6	1	evt_0	1	3.275	0.131	0.52
0	6	2	evt_12	1	0.2747	0.01099	0.8746
0	6	3	evt_3	1	3.416	0.1366	0.5063
0	6	4	evt_14	1	0.5987	0.02395	0.9133
0	6	5	evt_17	1	0.581	0.02324	0.8919
0	6	6	evt_6	1	4.054	0.1622	0.3584
0	6	7	evt_19	1	4.86	0.1944	0.2911
0	6	8	evt_20	1	1.509	0.06036	0.7581
0	6	9	evt_8	1	0.7853	0.03141	0.8895
0	6	10	evt_2	1	4.59	0.1836	0.289
0	6	11	evt_10	1	4.06	0.1624	0.3636
0	6	12	evt_4	1	2.544	0.1018	0.6163
0	6	13	evt_13	1	0.5964	0.02386	0.8492
0	6	14	evt_22	1	4.588	0.1835	0.2939
0	6	15	evt_16	1	2.746	0.1099	0.5495
0	6	16	evt_1	1	0.4436	0.01775	0.8597
0	6	17	evt_9	1	2.24	0.08961	0.6306
0	6	18	evt_18	1	1.333	0.05331	0.6394
0	6	19	evt_23	1	0.528	0.02112	0.8388
0	6	20	evt_11	1	1.722	0.06887	0.7235
0	6	21	evt_21	1	2.61	0.1044	0.5857
0	6	22	evt_15	1	0.9314	0.03726	0.8764
0	6	23	evt_5	1	0.9664	0.03866	0.8302
