|Run	|Epoch	#SSE	#AvgSSE	#PctErr	#PctCor	#CosDiff	#PerTrlMSec	#Hidden1_ActAvg	#Hidden2_ActAvg	#Output_ActAvg
1	30	0.2556	0.000426	0.04167	0.9583	0.9838	1.507	0.1489	0.1403	0.2275
1	31	0.2503	0.0004172	0.04167	0.9583	0.9855	0.8297	0.1486	0.1404	0.2276
1	32	0	0	0	1	0.9881	0.801	0.1485	0.1403	0.2276
1	33	0	0	0	1	0.9887	1.015	0.1482	0.1404	0.2277
1	34	0	0	0	1	0.9893	0.8483	0.1481	0.1402	0.2277
1	35	0	0	0	1	0.989	1.644	0.1481	0.1404	0.2278
1	36	0.3285	0.0005475	0.04167	0.9583	0.9903	0.822	0.1482	0.1403	0.2278
1	37	0.2702	0.0004504	0.04167	0.9583	0.9908	0.7749	0.148	0.1404	0.2278
1	38	0	0	0	1	0.9916	0.804	0.1479	0.1404	0.2278
1	39	0	0	0	1	0.9918	0.7646	0.1479	0.1405	0.2279
1	40	0	0	0	1	0.9915	1.482	0.1477	0.1403	0.2279
1	41	0	0	0	1	0.9927	0.798	0.1476	0.1402	0.2279
1	42	0	0	0	1	0.993	0.789	0.1474	0.1402	0.2279
