_H:,|Run,$Params,#FirstZero,#SSE,#AvgSSE,#PctErr,#PctCor,#CosDiff,#Test CorrECs,#Test CosDiffIap,#Test CosDiffIbp,#Test CosDiffCap,#Test CosDiffCbp,#Test Rcll,#Test Fami,#Lure CorrECs,#Lure CosDiffIap,#Lure CosDiffIbp,#Lure CosDiffCap,#Lure CosDiffCbp,#Lure Rcll,#Lure Fami
_D:,39,Base,-1,4782,0.2033,1,0,0.2729,0.8522,0.1081,0.112,0.1335,0.1591,0.825,0.45,0.8296,0.04202,0.03618,0.09702,0.1261,0.675,0.325
_D:,40,Base,-1,4509,0.1917,1,0,0.3116,0.8559,0.1539,0.1508,0.1395,0.1217,0.85,0.625,0.8221,0.05025,0.03958,0.06731,0.09753,0.65,0.3
_D:,41,Base,-1,4482,0.1905,1,0,0.3271,0.8283,0.168,0.1385,0.03715,0.1241,0.6,0.65,0.7962,0.03367,0.06251,0.02074,0.1349,0.25,0.25
_D:,42,Base,-1,4559,0.1938,1,0,0.3216,0.8646,0.1235,0.1606,0.1489,0.1948,0.875,0.575,0.8368,0.01239,0.02018,0.1296,0.1843,0.675,0.25
_D:,43,Base,-1,4489,0.1908,1,0,0.3151,0.851,0.1277,0.1647,0.09662,0.1045,0.8,0.525,0.822,-0.001035,-0.004696,0.09362,0.03887,0.475,0.225
_D:,44,Base,-1,4285,0.1822,1,0,0.3524,0.8434,0.2241,0.1854,0.06867,0.1585,0.75,0.625,0.8054,0.0504,0.03446,0.01862,0.1473,0.4,0.275
_D:,45,Base,-1,4392,0.1867,1,0,0.3426,0.8344,0.1922,0.1574,0.04894,0.141,0.65,0.7,0.7938,-0.01434,0.01392,0.02484,0.1188,0.15,0.15
_D:,46,Base,-1,4283,0.1821,1,0,0.3602,0.8261,0.1468,0.1513,0.1184,0.1581,0.625,0.5,0.8081,0.01841,-0.00589,0.1058,0.1442,0.375,0.275
_D:,47,Base,-1,4356,0.1852,1,0,0.3369,0.8438,0.07923,0.05698,0.1751,0.2076,0.675,0.375,0.8237,-0.004864,-0.0002041,0.1153,0.1859,0.55,0.15
_D:,48,Base,-1,4181,0.1778,1,0,0.3769,0.8249,0.1296,0.1647,0.07875,0.1398,0.45,0.5,0.7936,-0.006336,0.01134,0.04809,0.1174,0.3,0.15
_D:,49,Base,-1,4475,0.1903,1,0,0.325,0.8424,0.1136,0.1021,0.1535,0.1994,0.7,0.45,0.8289,0.03519,0.06062,0.09485,0.1643,0.625,0.275
